,code,no_schools_in_building,ratings,status,rating
605,R006,2,[10.],Same,10.0
606,R013,1,[9.],Same,9.0
607,R014,1,[6.],Same,6.0
608,R020,1,[4.],Same,4.0
609,R024,2,[8.],Same,8.0
610,R034,2,[9.],Same,9.0
611,R036,2,[3.],Same,3.0
612,R040,1,[3.],Same,3.0
613,R042,1,[1.],Same,1.0
614,R043,4,[10.],Same,10.0
615,R044,1,[4.],Same,4.0
616,R045,1,[5.],Same,5.0
617,R051,1,[9.],Same,9.0
618,R052,1,[8.],Same,8.0
619,R055,1,[3.],Same,3.0
620,R056,1,[10.],Same,10.0
621,R057,1,[1.],Same,1.0
622,R058,2,[10.],Same,10.0
623,R059,1,[4.],Same,4.0
624,R061,3,[9.],Same,9.0
625,R062,1,[10.],Same,10.0
626,R066,1,[10.],Same,10.0
627,R069,1,[7.],Same,7.0
628,R071,2,[10.],Same,10.0
629,R072,1,[8.],Same,8.0
630,R075,2,[6.],Same,6.0
631,R435,3,[6.],Same,6.0
632,R440,1,[8.],Same,8.0
633,R445,2,[3.],Same,3.0
634,R450,2,[7.],Same,7.0
635,R455,3,[7.],Same,7.0
636,R460,1,[9.],Same,9.0
637,R462,1,[9.],Same,9.0
638,R600,2,[8.],Same,8.0
639,R722,1,[9.],Same,9.0
640,R829,1,[9.],Same,9.0
641,R840,1,[9.],Same,9.0
642,R843,1,[8.],Same,8.0
643,R861,2,[10.],Same,10.0
644,R880,3,[4.],Same,4.0
